GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reporting/ogham-core,fr.sii.ogham.sms.builder,SmsBuilder,1,161,6,6,1,39,6,10,0,10
reporting/ogham-core,fr.sii.ogham.sms.builder,RecipientNumberFormatBuilder,0,59,1,1,0,14,1,5,0,5
reporting/ogham-core,fr.sii.ogham.sms.builder,PhoneNumbersBuilder,0,45,2,2,0,10,2,4,0,4
reporting/ogham-core,fr.sii.ogham.sms.builder,AutofillSmsBuilder,0,72,2,2,0,16,2,4,0,4
reporting/ogham-core,fr.sii.ogham.sms.builder,AutofillDefaultPhoneNumberBuilder,0,5,0,0,0,2,0,1,0,1
reporting/ogham-core,fr.sii.ogham.sms.builder,PhoneNumberTranslatorPair,0,15,0,0,0,6,0,3,0,3
reporting/ogham-core,fr.sii.ogham.sms.builder,RecipientNumberBuilder,8,36,2,2,3,10,3,4,1,4
reporting/ogham-core,fr.sii.ogham.sms.builder,SenderNumberFormatBuilder,0,111,3,3,0,26,3,9,0,9
reporting/ogham-core,fr.sii.ogham.core.util,WithPriority,0,20,0,0,0,7,0,4,0,4
reporting/ogham-core,fr.sii.ogham.core.util,ArrayUtils,33,0,0,0,6,0,2,0,2,0
reporting/ogham-core,fr.sii.ogham.core.util,PriorizedList,11,50,0,0,3,13,2,7,2,7
reporting/ogham-core,fr.sii.ogham.core.util,BeanUtils.Options,0,15,0,0,0,6,0,3,0,3
reporting/ogham-core,fr.sii.ogham.core.util,ClasspathUtils,0,17,0,0,0,7,0,4,0,4
reporting/ogham-core,fr.sii.ogham.core.util,StringUtils,4,9,0,0,1,2,1,2,1,2
reporting/ogham-core,fr.sii.ogham.core.util,EqualsBuilder,82,137,10,26,16,25,10,17,4,5
reporting/ogham-core,fr.sii.ogham.core.util,BeanUtils,39,100,1,9,9,26,2,11,1,7
reporting/ogham-core,fr.sii.ogham.core.util,HtmlUtils,0,101,2,8,0,23,2,8,0,5
reporting/ogham-core,fr.sii.ogham.core.util,HashCodeBuilder,26,41,0,2,7,9,4,5,4,4
reporting/ogham-core,fr.sii.ogham.core.util,IOUtils,0,30,0,0,0,6,0,4,0,4
reporting/ogham-core,fr.sii.ogham.core.util,Base64Utils,0,4,0,0,0,1,0,1,0,1
reporting/ogham-core,fr.sii.ogham.core.util,BuilderUtils,24,57,6,10,8,12,8,8,3,5
reporting/ogham-core,fr.sii.ogham.core.util,LogUtils,0,5,0,0,0,1,0,1,0,1
reporting/ogham-core,fr.sii.ogham.core.util,PriorizedMatchingHandler,0,23,0,0,0,8,0,4,0,4
reporting/ogham-core,fr.sii.ogham.core.util,ConfigurationValueUtils,0,22,0,4,0,4,0,3,0,1
reporting/ogham-core,fr.sii.ogham.core.util,PriorityComparator,0,17,0,0,0,4,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.util,LogUtils.Summarizer,2,24,1,3,1,7,1,3,0,2
reporting/ogham-core,fr.sii.ogham.email.builder,EmailBuilder,3,246,9,19,3,63,9,20,0,15
reporting/ogham-core,fr.sii.ogham.email.builder,ImageInliningBuilder,22,137,6,8,6,32,8,14,2,13
reporting/ogham-core,fr.sii.ogham.email.builder,AutofillDefaultEmailAddressBuilder,0,5,0,0,0,2,0,1,0,1
reporting/ogham-core,fr.sii.ogham.email.builder,AutofillEmailBuilder,0,161,11,11,0,36,11,8,0,8
reporting/ogham-core,fr.sii.ogham.email.builder,CssInliningBuilder,13,69,2,2,4,17,3,10,1,10
reporting/ogham-core,fr.sii.ogham.email.builder,CssHandlingBuilder,2,28,1,3,1,8,1,4,0,3
reporting/ogham-core,fr.sii.ogham.email.builder,AttachImageBuilder,5,27,1,3,1,8,1,4,0,3
reporting/ogham-core,fr.sii.ogham.email.builder,CidBuilder,2,27,1,3,1,10,1,5,0,4
reporting/ogham-core,fr.sii.ogham.email.builder,AttachmentHandlingBuilder,6,59,0,0,1,14,1,7,1,7
reporting/ogham-core,fr.sii.ogham.email.builder,Base64InliningBuilder,0,8,0,0,0,3,0,2,0,2
reporting/ogham-core,fr.sii.ogham.email.builder,ImageHandlingBuilder,2,28,1,3,1,8,1,4,0,3
reporting/ogham-core,fr.sii.ogham.email.builder,AutofillSubjectBuilder,22,90,3,3,7,20,6,5,3,5
reporting/ogham-core,fr.sii.ogham.core.builder.mimetype,SimpleMimetypeDetectionBuilder,18,130,4,10,5,34,5,13,1,10
reporting/ogham-core,fr.sii.ogham.core.builder.mimetype,SimpleTikaBuilder,0,60,0,2,0,12,0,6,0,5
reporting/ogham-core,fr.sii.ogham.core.builder.mimetype,ReplaceMimetypeBuilderDelegate,45,0,0,0,12,0,6,0,6,0
reporting/ogham-core,fr.sii.ogham.core.builder.mimetype,SimpleReplaceMimetypeBuilder.ContainsReplacement,22,0,0,0,6,0,2,0,2,0
reporting/ogham-core,fr.sii.ogham.core.builder.mimetype,TikaBuilderDelegate,34,0,0,0,9,0,5,0,5,0
reporting/ogham-core,fr.sii.ogham.core.builder.mimetype,SimpleReplaceMimetypeBuilder,35,47,0,2,6,10,3,4,3,3
reporting/ogham-core,fr.sii.ogham.core.builder.mimetype,MimetypeDetectionBuilderDelegate,31,12,0,0,5,4,4,2,4,2
reporting/ogham-core,fr.sii.ogham.core.builder.mimetype,SimpleReplaceMimetypeBuilder.PatternReplacement,0,17,0,0,0,5,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.util.bean,DirectAccessor,0,9,0,0,0,4,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.util.bean,RecursiveBeanReadWrapper,10,48,1,3,3,15,3,6,2,5
reporting/ogham-core,fr.sii.ogham.core.util.bean,BeanWrapperUtils,18,115,5,17,3,29,5,13,0,7
reporting/ogham-core,fr.sii.ogham.core.util.bean,DefaultRecursiveBeanReadWrapperFactory,0,11,0,0,0,2,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.util.bean,MapRecursiveBeanReadWrapperFactory,0,12,0,0,0,2,0,2,0,2
reporting/ogham-core,fr.sii.ogham.core.util.bean,ReadMethodAccessor,28,95,1,7,2,17,1,9,0,6
reporting/ogham-core,fr.sii.ogham.core.util.bean,SimpleBeanReadWrapper,0,201,1,23,0,42,1,20,0,9
reporting/ogham-core,fr.sii.ogham.core.util.bean,MapBeanReadWrapper.MapBeanReadWrapperEntry,61,24,14,0,18,7,10,4,3,4
reporting/ogham-core,fr.sii.ogham.core.util.bean,FieldAccessor,2,83,3,5,0,17,3,6,0,5
reporting/ogham-core,fr.sii.ogham.core.util.bean,MapBeanReadWrapper,41,98,2,8,8,24,9,14,7,11
reporting/ogham-core,fr.sii.ogham.core.exception.retry,RetryException,4,9,0,0,2,4,1,2,1,2
reporting/ogham-core,fr.sii.ogham.core.exception.retry,MaximumAttemptsReachedException,3,7,0,0,1,3,1,1,1,1
reporting/ogham-core,fr.sii.ogham.core.exception.retry,ExecutionFailedNotRetriedException,8,5,0,0,4,2,2,1,2,1
reporting/ogham-core,fr.sii.ogham.core.exception.retry,RetryExecutionInterruptedException,13,0,0,0,6,0,3,0,3,0
reporting/ogham-core,fr.sii.ogham.core.exception.retry,RetryExecutionFailureException,4,9,0,0,2,4,1,2,1,2
reporting/ogham-core,fr.sii.ogham.html.translator,InlineCssTranslator,40,133,2,12,6,35,2,13,0,8
reporting/ogham-core,fr.sii.ogham.html.translator,XHTMLTranslator,5,0,0,0,2,0,2,0,2,0
reporting/ogham-core,fr.sii.ogham.html.translator,ExpandCssPropertiesTranslator,5,0,0,0,2,0,2,0,2,0
